case,dice_ET,const_ET,dice_TC,const_TC,dice_WT,const_WT,acc
BraTS-GLI-00090-001,0.8863,0.0,0.8948,0.0,0.9769,0.0,0.9992
BraTS-GLI-00684-000,0.0,0.0,0.0,0.0,0.0891,0.0,0.9975
BraTS-GLI-00061-001,0.5793,0.0,0.4913,0.0,0.5385,0.0,0.9926
BraTS-GLI-01384-000,0.9442,0.0,0.9772,0.0,0.9726,0.0,0.9991
BraTS-GLI-00730-000,0.8811,0.0,0.9156,0.0,0.9571,0.0,0.999
BraTS-GLI-01115-000,0.8954,0.0,0.9,0.0,0.9402,0.0,0.9979
BraTS-GLI-01472-000,0.8334,0.0,0.886,0.0,0.8796,0.0,0.9978
BraTS-GLI-00457-000,0.9392,0.0,0.9713,0.0,0.956,0.0,0.9987
BraTS-GLI-00550-001,0.8359,0.0,0.6711,0.0,0.8254,0.0,0.9981
BraTS-GLI-00576-000,0.6395,0.0,0.5378,0.0,0.8976,0.0,0.9977
BraTS-GLI-01038-000,0.9541,0.0,0.9749,0.0,0.9384,0.0,0.9987
BraTS-GLI-00247-000,0.95,0.0,0.953,0.0,0.9293,0.0,0.9975
BraTS-GLI-01495-000,0.5878,0.0,0.3781,0.0,0.88,0.0,0.9926
BraTS-GLI-00296-000,0.9384,0.0,0.9524,0.0,0.9142,0.0,0.9993
BraTS-GLI-01110-000,0.0931,0.0,0.3836,0.0,0.656,0.0,0.9971
BraTS-GLI-00218-000,0.7842,0.0,0.8001,0.0,0.7033,0.0,0.9993
BraTS-GLI-01242-000,0.8962,0.0,0.9352,0.0,0.8669,0.0,0.9973
BraTS-GLI-01476-000,0.1541,0.0,0.9107,0.0,0.9549,0.0,0.999
BraTS-GLI-00692-000,0.8403,0.0,0.8878,0.0,0.9208,0.0,0.9986
BraTS-GLI-00630-000,0.744,0.0,0.7584,0.0,0.8458,0.0,0.9977
